batch_start,batch_close,candidate_id,ivrs,introductions,first_round_interviews,final_offers,hired,,,,,,,Predicted,Actual,Variance
1/13/16,2/8/16,611423,7,0,0,0,FALSE,,,,,,25829,FALSE,FALSE,TRUE
1/13/16,2/8/16,588326,4,3,2,0,FALSE,,,,,,1187638,FALSE,FALSE,TRUE
1/13/16,2/8/16,473270,2,0,0,0,FALSE,,,,,,1193640,FALSE,FALSE,TRUE
1/13/16,2/8/16,90506,20,3,1,0,FALSE,,,,,,26695,FALSE,FALSE,TRUE
1/13/16,2/8/16,536117,0,0,0,0,FALSE,,,,,,724548,FALSE,FALSE,TRUE
1/13/16,2/8/16,17796,1,0,0,0,FALSE,,,,,,668078,FALSE,FALSE,TRUE
1/13/16,2/8/16,605485,0,0,0,0,FALSE,,,,,,1086608,FALSE,FALSE,TRUE
1/13/16,2/8/16,615086,24,3,3,1,TRUE,,,,,,1030742,FALSE,FALSE,TRUE
1/13/16,2/8/16,17264,7,0,0,0,FALSE,,,,,,1212821,FALSE,FALSE,TRUE
1/13/16,2/8/16,604311,0,0,0,0,FALSE,,,,,,1346756,FALSE,FALSE,TRUE
1/13/16,2/8/16,608251,4,2,2,0,FALSE,,,,,,1482078,FALSE,FALSE,TRUE
1/13/16,2/8/16,188766,3,0,0,0,FALSE,,,,,,216160,FALSE,FALSE,TRUE
1/13/16,2/8/16,99438,1,1,1,0,FALSE,,,,,,1158698,FALSE,FALSE,TRUE
1/13/16,2/8/16,605080,1,0,0,0,FALSE,,,,,,725117,FALSE,FALSE,TRUE
1/13/16,2/8/16,248526,13,5,5,0,FALSE,,,,,,1183871,FALSE,FALSE,TRUE
1/13/16,2/8/16,293670,4,3,0,0,FALSE,,,,,,1127707,TRUE,TRUE,TRUE
1/13/16,2/8/16,616663,8,3,3,0,FALSE,,,,,,1013695,FALSE,FALSE,TRUE
1/13/16,2/8/16,24581,2,2,2,0,FALSE,,,,,,1302499,FALSE,FALSE,TRUE
1/13/16,2/8/16,380881,10,10,4,0,FALSE,,,,,,925773,FALSE,FALSE,TRUE
1/13/16,2/8/16,573586,3,3,1,0,FALSE,,,,,,216758,FALSE,FALSE,TRUE
1/13/16,2/8/16,598437,21,5,3,0,FALSE,,,,,,719099,FALSE,FALSE,TRUE
1/13/16,2/8/16,90759,1,1,1,0,FALSE,,,,,,999678,FALSE,FALSE,TRUE
1/13/16,2/8/16,600706,0,0,0,0,FALSE,,,,,,352674,FALSE,FALSE,TRUE
1/13/16,2/8/16,606458,1,0,0,0,FALSE,,,,,,1002627,FALSE,FALSE,TRUE
1/13/16,2/8/16,210223,0,0,0,0,FALSE,,,,,,1341024,FALSE,FALSE,TRUE
1/13/16,2/8/16,576342,2,0,0,0,FALSE,,,,,,1450451,TRUE,TRUE,TRUE
1/13/16,2/8/16,614650,0,0,0,0,FALSE,,,,,,1217661,FALSE,FALSE,TRUE
1/13/16,2/8/16,258548,3,0,0,0,FALSE,,,,,,124469,FALSE,FALSE,TRUE
1/13/16,2/8/16,604941,0,0,0,0,FALSE,,,,,,1174362,FALSE,FALSE,TRUE
1/13/16,2/8/16,597226,13,2,2,0,FALSE,,,,,,667376,FALSE,FALSE,TRUE
1/13/16,2/8/16,355090,3,3,0,0,FALSE,,,,,,1244250,FALSE,FALSE,TRUE
1/13/16,2/8/16,258122,8,3,3,0,FALSE,,,,,,984252,FALSE,FALSE,TRUE
1/13/16,2/8/16,531186,3,3,2,0,FALSE,,,,,,1188975,FALSE,FALSE,TRUE
1/13/16,2/8/16,590190,3,0,0,0,FALSE,,,,,,1434377,FALSE,FALSE,TRUE
1/13/16,2/8/16,614872,1,1,0,0,FALSE,,,,,,866958,FALSE,FALSE,TRUE
1/13/16,2/8/16,142026,5,5,2,0,FALSE,,,,,,939336,FALSE,FALSE,TRUE
1/13/16,2/8/16,397902,2,2,0,0,FALSE,,,,,,231162,FALSE,FALSE,TRUE
1/13/16,2/8/16,613144,1,0,0,0,FALSE,,,,,,805966,FALSE,FALSE,TRUE
1/13/16,2/8/16,273445,20,12,6,0,FALSE,,,,,,742107,FALSE,FALSE,TRUE
1/13/16,2/8/16,288352,0,0,0,0,FALSE,,,,,,423317,TRUE,FALSE,FALSE
1/13/16,2/8/16,72838,17,4,1,0,FALSE,,,,,,39511,FALSE,FALSE,TRUE
1/13/16,2/8/16,471782,0,0,0,0,FALSE,,,,,,118193,FALSE,FALSE,TRUE
1/13/16,2/8/16,605210,3,0,0,0,FALSE,,,,,,43756,FALSE,FALSE,TRUE
1/13/16,2/8/16,75328,2,0,0,0,FALSE,,,,,,830318,FALSE,FALSE,TRUE
1/13/16,2/8/16,609118,0,0,0,0,FALSE,,,,,,198437,FALSE,FALSE,TRUE
1/13/16,2/8/16,605869,0,0,0,0,FALSE,,,,,,708649,FALSE,FALSE,TRUE
1/13/16,2/8/16,182826,0,0,0,0,FALSE,,,,,,304033,TRUE,FALSE,FALSE
1/13/16,2/8/16,587049,10,5,4,2,FALSE,,,,,,816282,FALSE,FALSE,TRUE
1/13/16,2/8/16,226912,2,2,0,0,FALSE,,,,,,643276,FALSE,FALSE,TRUE
1/13/16,2/8/16,96890,8,8,2,1,TRUE,,,,,,698992,FALSE,FALSE,TRUE
1/13/16,2/8/16,18924,8,6,4,0,FALSE,,,,,,821036,FALSE,FALSE,TRUE
1/13/16,2/8/16,338040,10,1,1,0,FALSE,,,,,,219106,FALSE,FALSE,TRUE
1/13/16,2/8/16,20337,0,0,0,0,FALSE,,,,,,668189,FALSE,FALSE,TRUE
